smnno,first_month,amount,second_month,amount,third_month,amount 
SP0126,OCT,10000,NOV,10000,DEC,10000
SP0127,OCT,22416,NOV,22416,DEC,22416
SP0128,OCT,18334,NOV,18334,DEC,18334
SP0130,OCT,30817,NOV,30817,DEC,30817
SP0131,OCT,27817,NOV,27817,DEC,27817
SP0133,OCT,31729,NOV,31729,DEC,31729
SP0135,OCT,25800,NOV,25800,DEC,25800
SP0136,OCT,0,NOV,0,DEC,0
SP0137,OCT,38333,NOV,38333,DEC,38333
SP0140,OCT,100138,NOV,100138,DEC,100138
SP0141,OCT,42417,NOV,42417,DEC,42417
SP0143,OCT,14417,NOV,14417,DEC,14417
JP0111,OCT,16491,NOV,16491,DEC,16491
SP0145,OCT,30000,NOV,30000,DEC,30000
SP0146,OCT,10000,NOV,10000,DEC,10000
SP0148,OCT,157500,NOV,157500,DEC,157500
SP0149,OCT,5000,NOV,5000,DEC,5000
SP0150,OCT,10000,NOV,10000,DEC,10000
SP0151,OCT,52950,NOV,52950,DEC,52950
SP0153,OCT,5000,NOV,5000,DEC,5000
SP0155,OCT,57099,NOV,57099,DEC,57099
SP0156,OCT,37883,NOV,37883,DEC,37883
SP0157,OCT,74167,NOV,74167,DEC,74167
SP0160,OCT,75944,NOV,75944,DEC,75944
SP0163,OCT,78792,NOV,78792,DEC,78792
SP0164,OCT,32850,NOV,32850,DEC,32850
SP0165,OCT,47550,NOV,47550,DEC,47550
SP0166,OCT,5000,NOV,5000,DEC,5000
SP0167,OCT,55000,NOV,55000,DEC,55000
SP0168,OCT,10000,NOV,10000,DEC,10000
SP0169,OCT,65050,NOV,65050,DEC,65050
SP0170,OCT,48953,NOV,48953,DEC,48953
SP0171,OCT,20000,NOV,20000,DEC,20000
SP0172,OCT,58824,NOV,58824,DEC,58824
SP0179,OCT,8367,NOV,8367,DEC,8367
SP0180,OCT,34422,NOV,34422,DEC,34422
SP0181,OCT,37101,NOV,37101,DEC,37101
SP0182,OCT,27017,NOV,27017,DEC,27017
SP0184,OCT,0,NOV,0,DEC,0
SP0188,OCT,34082,NOV,34082,DEC,34082
SP0189,OCT,55875,NOV,55875,DEC,55875
SP0192,OCT,21000,NOV,21000,DEC,21000
SP0196,OCT,29584,NOV,29584,DEC,29584
SP0198,OCT,0,NOV,0,DEC,0
SP0199,OCT,15000,NOV,15000,DEC,15000
